Day,Month,Years,Time,Latitude,Longitude,Depth,Mag,Place
24,12,1991,17:47:36,-5.579,103.986,93.1,4.8, Kotabumi
22,12,1991,21:15:42,-4.893,103.185,58.9,5.4, Pagar Alam
17,12,1991,1:50:19,-3.611,102.034,72,5.3,Bengkulu
23,11,1991,21:26:33,-4.563,104.986,114.8,4.1, Kotabumi
18,11,1991,18:12:18,-5.16,102.202,33,4.8,Bengkulu
8,11,1991,17:12:43,-4.273,102.806,79.6,5.6, Pagar Alam
24,10,1991,23:12:20,-2.695,101.106,51.8,5.1,Sungai Penuh
14,10,1991,19:20:44,-4.611,102.854,83.9,4.3, Pagar Alam
8,10,1991,22:41:37,-5.353,102.585,33,3.9, Pagar Alam
28,9,1991,6:57:25,-4.733,103.217,33,5.1, Pagar Alam
21,7,1991,14:28:20,-5.217,102.645,42.1,5.1, Pagar Alam
21,7,1991,12:33:44,-5.186,102.753,97.8,4.9, Pagar Alam
18,7,1991,8:34:37,-3.402,103.983,180.7,4.7, Prabumulih
11,6,1991,18:55:56,-5.355,102.561,27.7,5.2, Pagar Alam
13,5,1991,4:23:06,-4.884,101.873,33,5.2, Bengkulu
11,5,1991,14:09:53,-5.639,102.625,42.5,5, Pagar Alam
27,4,1991,12:12:20,-4.496,102.821,107.6,5.1, Pagar Alam
14,4,1991,18:22:36,-4.379,102.785,104.5,5.2, Pagar Alam
27,3,1991,5:28:32,-5.558,103.016,33,4.9, Pagar Alam
14,3,1991,17:37:13,-1.72,100.813,107.2,4.7,Sungai Penuh
5,3,1991,22:35:48,-3.984,102.369,58.7,5.7, Bengkulu
2,3,1991,16:34:15,-5.599,103.156,41.5,4.9, Pagar Alam
26,1,1991,0:19:12,-3.515,102.63,112.7,5.5, Curup
19,1,1991,22:28:27,-5.615,105.691,33,4.8,Bandar Lampung
27,12,1990,21:12:49,-4.305,102.81,137,5.3, Pagar Alam
15,12,1990,2:55:53,-5.474,105.984,33,4.9, Serang
24,11,1990,1:58:25,-4.139,102.363,52.2,5.2, Bengkulu
8,11,1990,8:46:38,-4.989,101.768,33,4.6, Bengkulu
23,10,1990,17:26:24,-5.005,103.199,62.8,4, Southrern Sumatra
9,10,1990,18:05:10,-3.551,100.83,25.3,5.4,Bengkulu
26,9,1990,13:24:18,-3.989,102.385,58.6,5, Bengkulu
26,9,1990,12:47:14,-5.456,102.271,46.3,5.3,Bengkulu
11,9,1990,15:26:10,-3.528,101.638,65.3,5.1, Bengkulu
26,8,1990,22:35:26,-4.62,103.105,116.9,4.7, Pagar Alam
14,8,1990,0:26:26,-4.068,102.014,33,4.6,Bengkulu
5,8,1990,7:12:28,-4.585,103.118,115.7,4.6, Pagar Alam
24,7,1990,7:45:59,-4.811,102.75,79.6,5, Pagar Alam
1,7,1990,9:58:57,-3.323,102.052,110.9,5.3, Curup
26,6,1990,0:53:55,-3.39,100.799,57.6,5.4,Sungai Penuh
22,6,1990,15:25:54,-5.582,104.974,105.2,4.8,Bandar Lampung
7,6,1990,23:06:13,-5.094,102.45,80,4.3,Bengkulu
5,6,1990,23:25:57,-4.651,103.222,68.8,4.6, Pagar Alam
22,5,1990,17:59:44,-4.691,103.173,87.8,5.1, Pagar Alam
18,5,1990,3:30:43,-4.157,102.475,77.7,5.2, Bengkulu
2,5,1990,6:39:55,-4.238,103.049,33,4.4, Pagar Alam
16,4,1990,19:12:54,-5.301,102.38,38.9,4.9,Bengkulu
26,3,1990,4:12:42,-5.236,102.52,34.1,5, Pagar Alam
23,3,1990,1:36:51,-4.21,102.302,62.5,5, Bengkulu
2,3,1990,9:52:19,-5.267,102.85,33,4.8, Pagar Alam
10,2,1990,23:04:08,-3.846,104.331,296.6,4.6, Baturaja
24,1,1990,11:23:39,-5.034,102.678,122.3,4.1, Pagar Alam
11,1,1990,21:23:35,-5.006,102.429,33,4.8,Bengkulu
27,12,1989,20:01:05,-4.436,102.965,65,5.4, Pagar Alam
27,12,1989,19:24:08,-4.906,103.119,62.7,5.3, Pagar Alam
14,11,1989,5:38:56,-5.127,102.72,46.2,5.4, Pagar Alam
30,9,1989,7:43:38,-1.919,102.215,208.2,4.9, Sungai Penuh
15,9,1989,14:49:49,-5.092,102.573,33,4.7, Pagar Alam
10,9,1989,6:28:32,-2.321,101.887,159.2,4,Sungai Penuh
19,8,1989,6:55:55,-5.309,102.925,56.4,4.9, Pagar Alam
17,8,1989,7:05:45,-4.222,102.254,84.8,4.6, Bengkulu
17,8,1989,5:10:28,-5.314,102.779,42.1,4.9, Pagar Alam
7,8,1989,21:22:48,-5.078,103.585,97.9,4.5, Pagar Alam
8,7,1989,17:43:46,-5.334,103.851,60,3.9, Kotabumi
1,7,1989,5:59:56,-3.981,103.689,72.2,4.9,Tanjungagung
29,6,1989,5:25:51,-4.497,102.018,42.4,5.4, Bengkulu
21,6,1989,22:13:18,-4.8,102.915,77.2,4.8, Pagar Alam
10,6,1989,2:56:41,-4.77,102.496,33,4.4, Bengkulu
8,6,1989,12:25:57,-1.293,101.422,167.1,4.5, Sijunjung
2,5,1989,22:11:22,-4.323,101.192,51.9,4.3, Bengkulu
1,5,1989,22:39:44,-4.237,101.512,33,3.9, Southrern Sumatra
1,5,1989,8:45:21,-4.2,101.366,30.6,5.7, Bengkulu
29,4,1989,1:03:06,-5.494,102.976,37.9,5.2, Pagar Alam
28,4,1989,22:13:03,-4.187,101.503,33,5, Bengkulu
28,4,1989,21:09:57,-4.21,101.37,32.4,6.1, Bengkulu
28,4,1989,20:08:51,-4.294,101.363,30.3,5.7, Bengkulu
28,4,1989,17:38:26,-4.354,101.413,27.4,6, Bengkulu
25,4,1989,3:57:51,-2.303,100.859,74.2,4.7,Mentawai region
7,4,1989,3:25:11,-3.214,104.11,341,4.7, Prabumulih
11,3,1989,7:30:36,-4.815,103.123,33,4.9, Pagar Alam
6,3,1989,10:42:07,-5.284,103.358,40,4.5, Pagar Alam
23,2,1989,11:08:22,-4.854,103.106,75.1,4.9, Pagar Alam
20,2,1989,6:11:31,-4.667,102.788,91.8,4.8, Pagar Alam
28,1,1989,23:32:19,-2.774,101.602,103.8,4.6,Sungai Penuh
23,1,1989,7:36:57,-5.609,102.795,39.4,5.3, Pagar Alam
11,1,1989,9:47:05,-4.395,102.384,95,4.6, Bengkulu
4,1,1989,2:41:56,-4.978,102.319,33,4.9,Bengkulu
30,12,1988,22:05:25,-5.168,103.733,94.9,4.5, Baturaja
7,12,1988,20:58:26,-2.403,101.25,109.8,4.5,Sungai Penuh
26,11,1988,10:18:13,-5.607,102.699,54.1,5, Pagar Alam
4,11,1988,19:34:08,-4.766,101.98,33,4.7, Bengkulu
29,10,1988,2:56:45,-4.702,101.856,33,5, Bengkulu
24,10,1988,9:09:15,-4.776,103.026,92.2,5, Pagar Alam
23,9,1988,3:39:36,-4.886,101.953,71.3,5.3, Bengkulu
13,8,1988,10:53:00,-5.112,103.978,134.2,4.5, Kotabumi
8,8,1988,5:56:19,-4.889,102.384,33,4.7,Bengkulu
22,7,1988,2:09:48,-3.881,101.243,33,4.8,Bengkulu
19,7,1988,14:58:57,-2.932,101.443,80.7,5, Sungai Penuh
18,7,1988,8:41:12,-4.712,103.225,81,5.3, Pagar Alam
15,6,1988,19:15:09,-3.44,102.118,108.1,5.2, Bengkulu
26,5,1988,10:04:42,-2.507,102.436,179,4.7, Lubuklinggau
8,5,1988,15:25:41,-4.916,102.342,33,4.8,Bengkulu
7,5,1988,21:46:10,-4.438,101.544,35.4,5.1, Bengkulu
7,5,1988,9:42:37,-4.657,102.729,60,4.9, Pagar Alam
5,5,1988,20:51:13,-4.531,102.932,86.7,5, Pagar Alam
22,4,1988,12:50:23,-5.087,101.171,33,3.7, Bengkulu
21,4,1988,18:56:44,-2.313,102.259,198.7,4.7,Sungai Penuh
27,2,1988,12:35:23,-4.559,102.399,33,4.5, Bengkulu
22,2,1988,8:45:45,-4.459,102.772,68.5,5, Pagar Alam
16,2,1988,9:16:56,-5.341,103.147,53.2,5.3, Pagar Alam
10,1,1988,17:17:26,-5.51,102.039,33,4.8,Bengkulu
14,11,1987,9:26:25,-4.645,101.737,43.3,5.1, Bengkulu
4,11,1987,15:58:56,-4.487,105.476,134.3,4.4,Terbanggi Besar
28,10,1987,23:02:52,-4.418,102.593,72.3,5, Bengkulu
24,10,1987,10:25:11,-3.105,102.938,200.3,4.6, Lubuklinggau
22,10,1987,1:00:37,-5.325,104.719,33,4.8, Kotabumi
19,10,1987,6:54:50,-2.711,102.303,156,4.9, Southrern Sumatra
31,8,1987,10:50:02,-4.215,101.692,10,3.6,Bengkulu
26,7,1987,19:12:51,-2.893,102.03,125.8,4.7,Curup
5,7,1987,8:34:02,-5.455,102.591,33,4.8, Pagar Alam
24,6,1987,9:35:22,-4.868,102.386,33,4.8,Bengkulu
12,6,1987,14:26:09,-4.206,102.525,94,4.9, Bengkulu
4,6,1987,23:45:41,-4.615,101.96,42.8,5.8, Bengkulu
29,5,1987,3:26:06,-5.066,102.652,45.1,5.1, Pagar Alam
27,4,1987,4:38:37,-3.056,101.579,53.1,5.3, Bengkulu
1,4,1987,4:49:11,-4.445,102.723,82.5,4.8, Pagar Alam
25,2,1987,4:00:30,-5.59,103.632,42.7,4.9, Kotabumi
7,2,1987,15:24:22,-4.924,103.255,59.9,5.4, Pagar Alam
5,2,1987,14:43:30,-4.704,103.251,68.2,5.2, Pagar Alam
27,1,1987,8:12:22,-2.016,100.793,86.1,4.5, Sungai Penuh
24,1,1987,19:52:09,-5.327,103.807,33,4.7, Kotabumi
22,1,1987,1:30:59,-5.069,102.814,37.8,5.1, Pagar Alam
31,12,1986,19:19:24,-4.3,102.772,89.3,5.1, Pagar Alam
27,11,1986,1:43:49,-5.312,102.287,33,4.1,Bengkulu
20,11,1986,18:59:44,-3.473,101.558,33,4.2, Bengkulu
18,11,1986,0:18:47,-2.531,102.326,50.4,4.7, Lubuklinggau
9,11,1986,13:55:21,-4.269,102.366,71.8,5, Bengkulu
25,10,1986,16:17:02,-2.519,102.356,175.2,4.8, Lubuklinggau
9,10,1986,3:27:03,-3.385,103.023,195.3,5, Southrern Sumatra
16,9,1986,6:38:12,-5.267,102.209,33,4.9,Bengkulu
14,9,1986,13:22:09,-5.073,102.691,55.5,5, Pagar Alam
10,9,1986,13:46:46,-2.811,101.279,83.8,5.3, Sungai Penuh
6,9,1986,16:46:43,-3.086,101.413,148.5,4.9,Sungai Penuh
21,8,1986,13:48:37,-4.57,104.603,217.4,4.3,Kotabumi
11,8,1986,23:34:06,-4.697,101.984,53,4.7, Bengkulu
10,8,1986,11:08:12,-3.032,101.847,117.9,4.5, Curup
1,8,1986,23:47:20,-4.72,101.819,33,5.3, Bengkulu
23,7,1986,0:52:31,-2.462,102.47,57.9,4.5, Lubuklinggau
25,6,1986,10:59:49,-5.276,103.304,33,4.4, Pagar Alam
19,6,1986,23:24:00,-4.599,102.495,137.2,4.7, Bengkulu
15,6,1986,14:54:13,-1.954,100.849,87.4,5.3, Sungai Penuh
14,6,1986,15:54:59,-5.362,104.239,114.1,4.3, Southrern Sumatra
21,5,1986,10:03:59,-4.76,103.153,73,5.3, Pagar Alam
16,4,1986,19:56:50,-5.545,103.658,75.2,4.7, Kotabumi
6,4,1986,4:36:30,-3.133,101.533,74.2,5.2, Bengkulu
13,2,1986,13:34:10,-5.611,103.899,47.8,4.5, Kotabumi
10,2,1986,15:31:23,-5.486,104.136,83.1,4.6, Kotabumi
29,1,1986,11:56:34,-3.904,103.461,33,5,Lahat
25,1,1986,20:49:02,-5.388,102.04,33,4.6,Bengkulu
17,1,1986,22:47:50,-5.522,102.75,33,4.7, Pagar Alam
2,1,1986,17:57:19,-5.508,104.224,84.7,4.4, Kotabumi
30,12,1985,20:37:30,-5.573,104.092,33,4.6, Kotabumi
28,12,1985,5:55:01,-5.326,104.583,68.7,4.6, Kotabumi
9,12,1985,11:58:28,-5.651,105.816,148.1,5.1,Serang
25,9,1985,6:32:22,-3.96,101.984,33,4, Bengkulu
20,9,1985,19:16:23,-4.428,101.741,33,4.6,Bengkulu
23,8,1985,0:19:57,-2.728,103.558,308.4,4.4,Lubuklinggau
20,8,1985,2:40:39,-3.564,101.919,88.7,4.5,Bengkulu
12,8,1985,15:23:15,-4.431,102.935,93.2,5, Pagar Alam
9,8,1985,16:39:20,-5.433,104.825,33,5.1, Bandar Lampung
27,7,1985,13:54:35,-2.276,102.277,180.5,4.1,Sungai Penuh
16,7,1985,22:55:18,-4.865,101.222,33,4.5, Bengkulu
18,6,1985,14:06:57,-3.146,102.948,197.1,5, Lubuklinggau
12,6,1985,8:49:10,-4.103,102.581,81.4,5.3,Bengkulu
10,6,1985,13:12:50,-1.421,101.545,33,4.2,Sungai Penuh
4,6,1985,5:11:02,-4.416,102.689,76.6,5.2, Pagar Alam
27,5,1985,13:21:31,-5.347,102.539,33,4.2, Pagar Alam
26,3,1985,4:50:58,-4.307,101.209,33,5.4, Bengkulu
7,3,1985,15:55:30,-2.566,101.991,154.3,4.6,Sungai Penuh
3,3,1985,22:09:13,-4.678,101.969,33,4.9, Bengkulu
28,2,1985,21:01:36,-4.777,103.102,70.2,5.4, Pagar Alam
5,2,1985,8:28:58,-5.374,103.274,76.1,4.8, Pagar Alam
24,1,1985,22:48:25,-1.761,100.918,106.6,4.8,Sungai Penuh
16,1,1985,21:00:25,-3.7,101.882,67.2,5.3, Bengkulu
3,1,1985,9:28:04,-5.186,102.662,33,4.4, Pagar Alam
26,12,1984,21:49:16,-5.556,103.886,33,4.6, Kotabumi
17,12,1984,3:38:57,-4.961,105.221,66.3,4.7,Terbanggi Besar
13,12,1984,20:16:35,-4.949,101.804,28.1,5.2, Bengkulu
13,12,1984,5:20:15,-4.951,101.801,28,5.1, Bengkulu
2,12,1984,2:02:21,-4.426,104.618,204.7,4.6, Kotabumi
30,10,1984,4:51:29,-4.882,104.169,92.8,5, Kotabumi
26,10,1984,17:24:13,-4.76,104.343,131.2,4.6, Kotabumi
24,10,1984,2:04:00,-4.894,101.821,33,4.9, Bengkulu
9,10,1984,13:44:50,-3.258,103.843,334.5,4.4, Prabumulih
24,9,1984,9:40:28,-5.565,105.149,140.9,5, Bandar Lampung
20,9,1984,18:13:40,-4.507,106.225,33,4.2,Terbanggi Besar
16,9,1984,5:36:29,-5.311,103.66,77,4.9, Baturaja
8,8,1984,9:24:32,-4.192,103.119,130.7,4.6, Pagar Alam
27,6,1984,16:06:51,-5.429,102.798,69.1,4.9, Pagar Alam
27,6,1984,12:32:20,-5.333,102.865,67.5,5.2, Pagar Alam
14,6,1984,20:55:37,-4.042,101.365,42,4.6, Bengkulu
4,6,1984,2:06:07,-4.392,102.787,80.7,5.3, Pagar Alam
22,4,1984,22:07:09,-4.706,104.652,196.2,4.4, Kotabumi
31,3,1984,18:44:36,-4.672,102.663,69.6,5, Pagar Alam
30,3,1984,9:00:44,-4.039,102.533,104.9,5.1,Bengkulu
20,3,1984,16:04:10,-4.646,101.959,33,4.6, Bengkulu
10,3,1984,5:36:26,-3.441,101.853,86.2,4.9,Bengkulu
5,1,1984,7:43:07,-5.12,102.402,33,5.4,Bengkulu
4,1,1984,6:15:05,-4.182,102.525,90,5,Bengkulu
18,12,1983,17:39:08,-4.743,102.489,69.4,5.4, Bengkulu
31,10,1983,14:14:46,-4.67,102.064,33,5.2, Bengkulu
7,10,1983,5:20:43,-4.657,103.543,112.2,5.1, Pagar Alam
31,8,1983,1:05:35,-4.354,105.461,504.2,4.6,Terbanggi Besar
16,8,1983,16:29:04,-4.741,103.196,88.6,5.1, Pagar Alam
14,8,1983,18:38:37,-4.967,103.191,102.3,4.4, Pagar Alam
6,7,1983,3:42:32,-5.307,102.228,33,4.7,Bengkulu
24,6,1983,2:09:27,-4.832,102.378,33,4.9,Bengkulu
8,6,1983,9:54:38,-5.231,102.92,40,5.2, Pagar Alam
30,5,1983,14:47:10,-4.741,103.082,63,5.6, Pagar Alam
7,5,1983,20:40:42,-4.725,103.154,62.7,4.9, Southrern Sumatra
30,4,1983,13:55:56,-5.386,102.657,33,4.8, Pagar Alam
20,4,1983,18:37:12,-3.568,101.527,58.9,4.5, Bengkulu
24,2,1983,9:44:53,-5.251,103.056,44,5.1, Pagar Alam
23,2,1983,22:46:31,-5.524,103.9,70,4.9, Kotabumi
20,2,1983,9:36:07,-3.905,102.956,79.4,4.7, Pagar Alam
13,2,1983,4:09:25,-3.954,101.231,33,4.7,Bengkulu
11,2,1983,15:14:47,-5.314,102.298,33,4.6,Bengkulu
29,1,1983,23:07:13,-5.604,103.348,33,4.7, Pagar Alam
11,1,1983,15:27:35,-2.467,101.793,33,4.8,Sungai Penuh
4,1,1983,4:02:27,-3.23,101.14,51.6,5.3,Sungai Penuh
4,1,1983,3:09:02,-3.151,101.227,54.1,5.5,Sungai Penuh
3,1,1983,7:27:35,-3.912,102.888,121.3,5, Pagar Alam
3,1,1983,3:39:47,-4.846,103.153,59,5.5, Pagar Alam
23,11,1982,6:45:48,-3.7,101.801,83.1,5, Bengkulu
12,11,1982,23:30:31,-5.455,104.103,130.3,4.1, Kotabumi
8,10,1982,9:01:24,-4.791,103.069,90.9,4.7, Pagar Alam
25,9,1982,3:11:42,-4.355,102.167,60.7,5, Bengkulu
18,8,1982,21:34:48,-3.757,102.193,77.9,5.2,Bengkulu
4,7,1982,10:14:22,-4.891,102.7,72.8,5, Pagar Alam
14,6,1982,16:41:04,-4.714,103.061,56,5.9, Pagar Alam
1,6,1982,10:12:22,-5.215,103.362,83.9,5.1, Pagar Alam
30,5,1982,6:41:32,-5.487,102.782,33,5.1, Pagar Alam
18,5,1982,17:32:17,-4.707,103.267,83.2,5.2, Pagar Alam
12,5,1982,11:28:42,-4.474,102.831,77,4.7, Pagar Alam
21,4,1982,11:51:33,-5.106,102.375,33,5.3,Bengkulu
15,4,1982,14:51:32,-4.74,103.161,72.5,5.5, Pagar Alam
18,3,1982,4:52:48,-4.596,101.915,30,5.2, Bengkulu
4,3,1982,22:53:21,-5.189,101.9,64.5,3.8, Bengkulu
15,2,1982,7:25:16,-4.814,102.906,61.6,4.8, Pagar Alam
19,1,1982,20:04:51,-5.045,102.156,33,5,Bengkulu
6,1,1982,9:43:41,-3.518,101.59,56.6,4.9, Bengkulu
27,11,1981,16:22:02,-4.174,102.407,77.9,4.5, Bengkulu
22,11,1981,14:34:09,-3.88,103.275,170.6,4.4, Pagar Alam
6,11,1981,17:41:24,-5.476,103.696,118.7,4.5, Kotabumi
21,10,1981,20:35:49,-4.508,102.702,57.5,5.2, Pagar Alam
19,10,1981,12:06:10,-5.036,102.658,33,4.6, Southrern Sumatra
21,9,1981,1:41:32,-5.453,102.804,37.5,4.9, Pagar Alam
29,8,1981,7:41:51,-2.202,100.856,57,4.9,Sungai Penuh
3,8,1981,17:21:32,-4.707,103.234,51.9,5.3, Pagar Alam
12,7,1981,20:19:29,-5.187,102.163,33,4.4,Bengkulu
8,7,1981,3:01:56,-5.164,102.5,59.4,5, Pagar Alam
14,6,1981,17:11:45,-4.841,103.636,110,4.6,Baturaja
26,5,1981,14:18:02,-5.169,104.217,48.3,5.1, Kotabumi
24,5,1981,5:40:32,-5.068,102.746,62.2,4.8, Pagar Alam
14,5,1981,23:09:51,-5.63,101.885,33,4.6, Bengkulu
3,5,1981,8:48:57,-4.759,102.29,33,5.2,Bengkulu
5,3,1981,18:38:10,-5.221,102.924,46,5, Pagar Alam
4,3,1981,18:40:33,-5.312,102.968,63.7,4.8, Pagar Alam
24,1,1981,22:21:00,-5.419,102.933,40,5.6, Pagar Alam
16,1,1981,21:37:20,-5.429,102.908,39,5.5, Pagar Alam
16,1,1981,20:50:22,-5.409,102.975,33,4.8, Southrern Sumatra
9,12,1980,6:35:15,-4.376,102.094,48,4.9, Bengkulu
30,11,1980,21:44:11,-5.394,101.146,33,5.1, Bengkulu
30,11,1980,10:12:26,-5.373,101.113,33,4.9, Bengkulu
30,11,1980,2:44:55,-5.454,102.951,58,5.4, Pagar Alam
4,11,1980,18:41:17,-4.501,102.97,74,5.1, Pagar Alam
9,10,1980,5:17:28,-5.357,103.162,77,4.8, Southrern Sumatra
8,10,1980,16:49:06,-5.486,102.974,62,4.8, Pagar Alam
8,10,1980,16:04:45,-5.366,103.118,33,6.3, Pagar Alam
4,10,1980,6:32:13,-3.19,100.969,33,4.6,Sungai Penuh
22,9,1980,1:44:14,-4.236,103.524,33,4.4, Pagar Alam
20,9,1980,17:44:24,-5.125,102.41,28,5.5,Bengkulu
25,8,1980,1:40:06,-2.913,101.273,72,5.1, Sungai Penuh
22,8,1980,13:08:51,-4.998,103.056,50,5.1, Pagar Alam
23,7,1980,21:15:15,-2.791,101.199,54,5.5, Southrern Sumatra
17,7,1980,8:39:56,-5.636,103.906,114,4.3, Kotabumi
17,7,1980,0:39:00,-4.954,103.105,59,5.1, Pagar Alam
9,7,1980,15:52:55,-5.136,102.947,75,4.7, Pagar Alam
29,6,1980,12:46:32,-5.209,102.689,53,5.1, Pagar Alam
26,6,1980,20:23:18,-5.067,102.933,67,5.1, Pagar Alam
31,5,1980,7:59:05,-5.299,102.106,33,5,Bengkulu
5,5,1980,20:29:50,-2.387,101.903,151,3.8,Sungai Penuh
10,4,1980,7:31:11,-4.927,101.838,33,5.1, Bengkulu
3,4,1980,10:18:21,-5.589,103.167,33,5.7, Pagar Alam
1,4,1980,1:27:50,-5.569,101.764,33,4.5, Bengkulu
18,3,1980,23:35:39,-5.447,105.646,48,4.8,Sunda Strait
18,3,1980,0:43:29,-4.29,102.051,47,5.4, Bengkulu
3,3,1980,20:59:22,-5.095,101.344,33,4.2, Bengkulu
5,2,1980,17:59:56,-4.887,102.189,84,4.3, Southrern Sumatra
30,1,1980,15:31:40,-3.152,102.559,65,5, Curup
8,1,1980,6:34:07,-4.022,101.233,33,5, Bengkulu
26,12,1979,12:43:29,-4.371,102.029,33,4.8, Bengkulu
18,12,1979,19:24:04,-3.221,102.245,33,5,Curup
15,12,1979,0:20:13,-3.351,102.536,33,5, Curup
15,12,1979,0:02:41,-3.299,102.712,33,6.6, Lubuklinggau
22,11,1979,9:11:20,-4.702,101.549,52,4.7, Bengkulu
13,11,1979,19:05:02,-4.437,102.015,47,6.3, Bengkulu
30,9,1979,6:08:57,-5.378,102.08,33,4.4,Bengkulu
29,9,1979,7:34:43,-4.446,102.804,100,4.9, Pagar Alam
9,9,1979,14:09:51,-4.884,101.813,33,4.4, Bengkulu
24,6,1979,8:51:37,-4.106,101.223,34,5.2, Bengkulu
5,6,1979,15:42:38,-5.597,102.272,111,4.5,Bengkulu
31,5,1979,17:42:27,-4.191,102.44,33,5.3, Bengkulu
22,5,1979,17:49:11,-5.654,104.55,103,5,Bandar Lampung
19,5,1979,22:34:34,-1.077,100.958,131,5.4, Sijunjung
6,4,1979,6:13:19,-4.056,102.413,59,5.5, Bengkulu
25,3,1979,0:38:19,-4.117,102.565,84,5.1,Bengkulu
13,3,1979,1:20:58,-1.075,101.862,36,4.6,Sijunjung
8,3,1979,21:32:13,-4.23,101.002,26,5, Bengkulu
25,2,1979,5:39:59,-5.603,103.293,38,5.2, Pagar Alam
19,2,1979,13:31:00,-3.639,102.331,107,4.6, Bengkulu
18,2,1979,13:26:08,-4.729,103.24,103,4.6, Southrern Sumatra
29,1,1979,7:17:38,-4.094,101.103,33,4.2, Bengkulu
11,1,1979,7:26:58,-4.047,101.253,33,5.2, Bengkulu
11,1,1979,6:28:13,-4.08,101.252,32,6.2, Bengkulu
21,12,1978,15:10:50,-1.961,102.163,213,4.5, Sungai Penuh
8,11,1978,17:39:46,-4.736,103.624,126,4.6, Pagar Alam
2,10,1978,19:03:14,-5.309,102.95,90,5.1, Pagar Alam
5,8,1978,18:52:09,-4.024,102.409,48,5.9, Bengkulu
25,6,1978,6:05:57,-5.149,102.28,33,5.1,Bengkulu
24,6,1978,11:01:37,-5.078,102.278,33,5.6,Bengkulu
24,6,1978,9:35:17,-5.032,102.372,33,5.8,Bengkulu
24,6,1978,9:31:42,-5.06,102.356,33,6.4,Bengkulu
12,6,1978,0:06:18,-5.124,102.808,33,5.7, Pagar Alam
24,5,1978,1:50:58,-5.254,102.792,33,5.1, Pagar Alam
11,5,1978,14:01:33,-5.414,104.124,83,5.1, Kotabumi
28,4,1978,19:31:46,-5.577,105.929,164,4.6, Serang
14,4,1978,14:36:43,-4.954,102.484,72,4.7,Bengkulu
22,3,1978,16:07:33,-3.92,102.758,112,4.2, Pagar Alam
18,2,1978,3:43:14,-4.649,102.938,53,5.5, Pagar Alam
15,2,1978,1:50:28,-4.783,102.599,33,4.6, Pagar Alam
8,2,1978,13:05:26,-4.234,102.886,83,5.4, Pagar Alam
5,2,1978,18:18:15,-3.42,104.303,294,5,Prabumulih
8,1,1978,22:30:58,-4.215,102.821,94,5.3, Pagar Alam
7,1,1978,13:44:18,-4.981,102.489,33,5.1,Bengkulu
20,12,1977,9:53:35,-4.43,102.475,105,5.1, Bengkulu
18,11,1977,10:17:41,-4.353,102.022,33,5.9, Bengkulu
12,10,1977,2:47:50,-4.278,102.728,33,5.4, Pagar Alam
6,10,1977,22:13:27,-4.794,103.179,108,5.4, Pagar Alam
5,9,1977,15:13:05,-3.916,103.706,162,5.2,Tanjungagung
31,8,1977,10:03:43,-3.841,103.202,205,5, Pagar Alam
15,8,1977,16:41:05,-2.995,101.711,88,5.2, Southrern Sumatra
6,8,1977,16:55:08,-5.102,102.453,113,4.4,Bengkulu
25,6,1977,6:39:18,-4.6,102.234,47,5.5, Bengkulu
24,6,1977,16:20:30,-2.268,100.833,53,5.5,Sungai Penuh
16,6,1977,15:36:08,-5.184,102.641,72,4.8, Pagar Alam
10,6,1977,2:35:14,-3.102,101.486,33,5.4, Bengkulu
20,5,1977,22:51:13,-4.444,101.975,37,5.7, Bengkulu
24,4,1977,16:10:05,-5.211,102.927,33,5.2, Pagar Alam
4,4,1977,19:06:35,-2.766,102.277,133,5.1, Curup
21,3,1977,11:33:57,-4.437,102.748,118,4.5, Pagar Alam
18,3,1977,6:34:17,-4.667,103.123,33,5.3, Pagar Alam
1,3,1977,20:13:48,-1.154,101.081,116,4.6,Sijunjung
31,1,1977,1:33:08,-5.31,104.611,119,4.2, Kotabumi
19,12,1976,3:49:24,-4.784,103.1,97,5.2, Pagar Alam
10,12,1976,20:34:30,-4.725,103.405,87,5.5, Pagar Alam
19,11,1976,21:44:10,-5.009,104.148,120,5.1, Kotabumi
16,10,1976,20:10:48,-4.673,105.262,187,4.9,Terbanggi Besar
4,10,1976,2:23:00,-5.273,102.648,30,5.5, Pagar Alam
20,9,1976,13:42:42,-5.379,103.045,92,4.4, Pagar Alam
13,9,1976,8:24:20,-4.906,101.98,53,4.7, Bengkulu
3,9,1976,15:16:16,-5.37,102.152,48,4.8,Bengkulu
30,8,1976,4:57:41,-4.86,102.263,33,4.2,Bengkulu
20,7,1976,1:22:09,-4.73,101.822,33,5.8, Bengkulu
30,6,1976,14:44:51,-2.113,101.947,138,5.5, Sungai Penuh
9,5,1976,7:50:47,-2.675,101.738,102,5,Sungai Penuh
28,3,1976,16:24:41,-5.001,105.052,179,5.5, Terbanggi Besar
11,3,1976,0:50:32,-4.361,102.788,67,5, Pagar Alam
10,3,1976,20:41:15,-3.621,101.932,84,5.3, Bengkulu
2,3,1976,6:07:22,-3.277,102.65,33,4.8, Lubuklinggau
28,2,1976,0:12:11,-5.66,105.544,58,5.2, Bandar Lampung
17,2,1976,3:14:18,-4.484,103.126,33,5.3, Pagar Alam
20,11,1975,0:50:04,-4.405,102.406,58,5.8, Bengkulu
7,11,1975,9:25:07,-4.695,102.526,132,4.7, Bengkulu
2,11,1975,14:29:31,-4.761,102.115,67,4.5,Bengkulu
19,10,1975,14:19:23,-4.765,102.106,40,5.1,Bengkulu
